From,To,Empties,Flong,Flat,Tlong,Tlat,
ABL,DAL, 3 ,-99.81,32.44,-97.00,32.80, -   
ATL,CHA, 6 ,-84.39,33.75,-85.19,35.06, -   
AUG,ATL, 4 ,-82.13,33.48,-84.39,33.75, -   
AUS,WAC, 9 ,-97.63,30.29,-97.18,31.47, -   
AVL,KNX, 3 ,-82.61,35.55,-84.13,35.91, -   
BHM,ATL, 8 ,-86.76,33.56,-84.39,33.75, -   
BHM,DEC, 4 ,-86.76,33.56,-86.84,34.65, -   
BHM,GAD, 2 ,-86.76,33.56,-86.08,34.00, -   
BHM,TUP, 3 ,-86.76,33.56,-88.77,34.31, -   
BMT,BTR, 2 ,-93.78,30.09,-91.05,30.37, -   
BMT,HOU, 1 ,-93.78,30.09,-95.33,29.92, 1 
BTR,JMS, 6 ,-91.05,30.37,-90.14,32.25, -   
BTR,SHR, 1 ,-91.05,30.37,-93.93,32.45, -   
BWG,LOU, 7 ,-86.42,36.93,-85.66,38.19, -   
BWG,OWN, 2 ,-86.42,36.93,-87.15,37.79, -   
CHA,KNX, 1 ,-85.19,35.06,-84.13,35.91, -   
CHA,NAS, 2 ,-85.19,35.06,-86.72,36.11, -   
CHI,MWK, 5 ,-87.75,41.76,-87.93,42.93, -   
CHR,CLM, 2 ,-80.07,32.94,-81.08,33.91, -   
CIN,CHI, 1 ,-84.64,39.03,-87.75,41.76, -   
CIN,LOU, 1 ,-84.64,39.03,-85.66,38.19, 1 
CKV,NAS, 6 ,-85.49,36.13,-86.72,36.11, -   
CLM,AUG, 1 ,-81.08,33.91,-82.13,33.48, -   
CLM,CLT, 7 ,-81.08,33.91,-80.97,35.13, -   
CLT,GRN, 3 ,-80.97,35.13,-82.13,34.88, -   
COR,LEX, 4 ,-84.07,37.11,-84.52,38.09, -   
CRP,SAT, 1 ,-97.46,27.79,-98.42,29.46, -   
DAL,LRK, 5 ,-97.00,32.80,-92.15,34.74, -   
DAR,CLM, 1 ,-79.79,34.24,-81.08,33.91, -   
DAR,CLT, 2 ,-79.79,34.24,-80.97,35.13, -   
DEC,NAS, 6 ,-86.84,34.65,-86.72,36.11, -   
DOT,MON, 1 ,-85.46,31.28,-86.12,32.37, -   
DOT,OPK, 2 ,-85.46,31.28,-85.36,32.67, -   
